variant_id,title_long,product_type,handle,color,store_name
10001,Abstract Green Jacquard Woven Design Saree With Embroidered Blouse,saree with blouse,abstract-green-jacquard-woven-design-saree-with-embroidered-blouse,green,Store_A
10002,Abstract leopard Print Satin Crepe Trendy Saree in White and Blue,satin saree,abstract-leopard-print-satin-crepe-trendy-saree-in-white-and-blue,white - blue,Store_A
10003,Abstract leopard Print Satin Crepe Trendy Saree in White and Red,satin saree,abstract-leopard-print-satin-crepe-trendy-saree-in-white-and-red,white - red,Store_A
10004,Abstract Print Satin Crepe Trendy Saree in Baby Pink,satin saree,abstract-print-satin-crepe-trendy-saree-in-baby-pink,pink,Store_A
10005,Abstract Print Satin Crepe Trendy Saree in Black and White,satin saree,causal-wear-abstract-print-satin-crepe-saree-in-black-and-white,black - white,Store_A
10006,Abstract Print Satin Crepe Trendy Saree in Blue,satin saree,abstract-print-satin-crepe-trendy-saree-in-blue,blue,Store_A
10007,Abstract Print Satin Crepe Trendy Saree in Green and White color,satin saree,abstract-print-satin-crepe-trendy-saree-in-green-and-white,green - white - color,Store_A
10008,Abstract Print Satin Crepe Trendy Saree in Pastel Green,satin saree,abstract-print-satin-crepe-trendy-saree-in-pastel-green,green,Store_A
10009,Abstract Print Satin Crepe Trendy Saree in Rani Pink,satin saree,abstract-print-satin-crepe-trendy-saree-in-rani-pink,pink,Store_A
10010,Abstract Print Satin Crepe Trendy Saree in White,satin saree,abstract-print-satin-crepe-trendy-saree-in-white,white,Store_A
10011,Adorable Multy Color Brasso Silk saree with Work Blouse,silk saree with blouse,adorable-multy-color-brasso-silk-saree-with-work-blouse,multy - color,Store_A
10012,Adorable Pink Color Soft handloom Weaving Silk Saree with Blouse,silk saree with blouse,adorable-pink-color-soft-handloom-weaving-silk-saree-with-blouse,pink - color,Store_A
10013,Aegean Blue Handloom Weaving Silk with Gotta lace border,silk with border,aegean-blue-handloom-weaving-silk-with-gotta-lace-border,blue,Store_A
10014,Aegean Blue Tussar Silk Copper Zari Weaving Saree,silk saree,tessar-silk-copper-zari-weaving-saree,blue - copper,Store_A
10015,Airforce Blue Kashmiri Modal Handloom Weaving Saree,saree,airforce-blue-kashmiri-modal-handloom-weaving-saree,blue,Store_A
10016,Alluring Brown And Orange Patola Silk Saree,silk saree,alluring-brown-and-pink-patola-silk-saree,brown - orange,Store_A
10017,Alluring Green  And Pink Patola Silk Saree,silk saree,alluring-green-patola-silk-saree,green - pink,Store_A
10018,Alluring Green  And Pink Patola Silk Saree,silk saree,alluring-green-and-pink-patola-silk-saree,green - pink,Store_A
10019,Alluring Green And Pink Patola Silk Saree,silk saree,alluring-green-and-pink-patola-silk-saree-1,green - pink,Store_A
10020,Alluring Maroon And Green Patola Silk Saree,silk saree,alluring-maroon-and-green-patola-silk-saree,maroon - green,Store_A
10021,Alluring Off-white And Red Patola Silk Saree,silk saree,alluring-off-white-and-red-patola-silk-saree,red,Store_A
10022,Alluring Orange And Green Patola Silk Saree,silk saree,alluring-orange-and-green-patola-silk-saree,orange - green,Store_A
10023,Alluring Sky Blue Patola Silk Saree,silk saree,alluring-sky-blue-patola-silk-saree,blue,Store_A
10024,Alluring Yellow patola silk saree,silk saree,alluring-yellow-patola-silk-saree,yellow,Store_A
10025,Almond Brown Colour 3D Chiffon Saree With Sequence Blouse,saree with blouse,almond-brown-colour-3d-velvet-chiffon-saree-with-sequence-blouse,brown,Store_A
10026,Amber Green Woven Patola Silk Saree with Classic Border,silk saree with border,woven-patola-silk-saree-with-classic-border,green,Store_A
10027,Amber Orange & Golden Zari Woven Kanjivaram Saree With Blouse,saree with blouse,amber-orange-golden-zari-woven-kanjivaram-saree-with-blouse,orange - golden,Store_A
10028,Amber Orange Shine Kanjivaram Wedding Saree With Blouse,saree with blouse,amber-orange-shine-kanjivaram-wedding-saree-with-blouse,orange,Store_A
10029,Anchor Gray Soft Silk Golden Zari weaving with contrast blouse,silk blouse,anchor-gray-soft-silk-golden-zari-weaving-with-contrast-blouse,gray - golden,Store_A
10030,Apple Red Silk Saree with Floral Woven Border and Pallu,silk saree with border,copy-of-abstract-green-jacquard-woven-design-saree-with-embroidered-blous,red,Store_A
10031,Aqua Blue Paithani Silk Saree with Golden Zari Woven Border,silk saree with border,paithani-silk-saree-with-golden-zari-woven-border,blue - golden,Store_A
10032,Aqua Green And Grey Cord and Sequins Embroidery Saree with Blouse,saree with blouse,aqua-green-and-grey-cord-and-zari-embroidery-saree-with-blouse,green - grey,Store_A
10033,Army Green & Golden Zari Banarasi Silk Saree With Blouse,silk saree with blouse,army-green-golden-zari-banarasi-silk-saree-with-blouse,green - golden,Store_A
10034,Army Green Kanjivaram Silk Saree With Zari Border Blouse,silk saree with border and blouse,army-green-kanjivaram-silk-saree-with-zari-border-blouse,green,Store_A
10035,Art Design Morpinch Color Brasso Silk Saree and Blouse,silk saree with blouse,art-design-morpinch-color-brasso-silk-saree-and-blouse,color,Store_A
10036,Asparagus Green Linen Silk Saree With Blouse,linen silk saree with blouse,asparagus-green-line-silk-saree-with-blouse,green,Store_A
10037,Assure Blue Golden Checks Design Soft Raw Silk Saree,silk saree,assure-blue-golden-checks-design-soft-raw-silk-saree,blue - golden,Store_A
10038,Assure Blue Lycra Saree with Thread and Sequins Embroidery Work,saree,assure-blue-lycra-saree-with-thread-and-sequins-embroidery-work,blue,Store_A
10039,Attractive Blue & Green  Patola Silk Saree,silk saree,attractive-blue-green-patola-silk-saree,blue - green,Store_A
10040,Attractive Cream Tessar Silk Weaving Saree,silk saree,attractive-white-tessar-silk-weaving-saree,cream,Store_A
10041,Attractive Dark Pink & Green Patola Silk Saree,silk saree,copy-of-attractive-dark-pink-green-patola-silk-saree,dark - pink - green,Store_A
